Country,Sex,Age Group,Year,Ethnic Group,Value ('000 Person),
Malaysia,Total Sex,Total Age Group,1986,Chinese,4800.3,
Malaysia,Total Sex,Total Age Group,1986,Indians,1323.6,
Malaysia,Total Sex,Total Age Group,1986,Others,431.2,
Malaysia,Total Sex,Total Age Group,1987,Total Ethnic Group,16773.5,
Malaysia,Total Sex,Total Age Group,1987,Bumiputera,10127.7,
Malaysia,Total Sex,Total Age Group,1987,Chinese,4845.2,
Malaysia,Total Sex,Total Age Group,1987,Indians,1347.0,
Malaysia,Total Sex,Total Age Group,1987,Others,453.6,
Malaysia,Total Sex,Total Age Group,1988,Total Ethnic Group,17219.1,
Malaysia,Total Sex,Total Age Group,1988,Bumiputera,10480.5,
Malaysia,Total Sex,Total Age Group,1988,Chinese,4893.4,
Malaysia,Total Sex,Total Age Group,1988,Indians,1368.3,
Malaysia,Total Sex,Total Age Group,1988,Others,476.9,
Malaysia,Total Sex,Total Age Group,1989,Total Ethnic Group,17662.1,
Malaysia,Total Sex,Total Age Group,1989,Bumiputera,10824.6,
Malaysia,Total Sex,Total Age Group,1989,Chinese,4948.3,
Malaysia,Total Sex,Total Age Group,1989,Indians,1387.8,
Malaysia,Total Sex,Total Age Group,1989,Others,501.3,
Malaysia,Total Sex,Total Age Group,1990,Total Ethnic Group,18102.4,
Malaysia,Total Sex,Total Age Group,1990,Bumiputera,11178.6,
Malaysia,Total Sex,Total Age Group,1990,Chinese,4989.9,
Malaysia,Total Sex,Total Age Group,1990,Indians,1408.7,
Malaysia,Total Sex,Total Age Group,1990,Others,525.2,
Malaysia,Total Sex, 0 - 4,1980,Total Ethnic Group,1979.2,
Malaysia,Total Sex, 0 - 4,1980,Bumiputera,1210.2,
Malaysia,Total Sex, 0 - 4,1980,Chinese,567.4,
Malaysia,Total Sex, 0 - 4,1980,Indians,160.5,
Malaysia,Total Sex, 0 - 4,1980,Others,41.1,
Malaysia,Total Sex, 0 - 4,1981,Total Ethnic Group,2032.4,
Malaysia,Total Sex, 0 - 4,1981,Bumiputera,1259.6,
Malaysia,Total Sex, 0 - 4,1981,Chinese,564.7,
Malaysia,Total Sex, 0 - 4,1981,Indians,163.9,
Malaysia,Total Sex, 0 - 4,1981,Others,44.1,
Malaysia,Total Sex, 0 - 4,1982,Total Ethnic Group,2079.2,
Malaysia,Total Sex, 0 - 4,1982,Bumiputera,1306.3,
Malaysia,Total Sex, 0 - 4,1982,Chinese,557.7,
Malaysia,Total Sex, 0 - 4,1982,Indians,166.8,
Malaysia,Total Sex, 0 - 4,1982,Others,48.5,
Malaysia,Total Sex, 0 - 4,1983,Total Ethnic Group,2147.7,
Malaysia,Total Sex, 0 - 4,1983,Bumiputera,1368.8,
Malaysia,Total Sex, 0 - 4,1983,Chinese,556.3,
Malaysia,Total Sex, 0 - 4,1983,Indians,169.5,
Malaysia,Total Sex, 0 - 4,1983,Others,53.1,
Malaysia,Total Sex, 0 - 4,1984,Total Ethnic Group,2202.9,
Malaysia,Total Sex, 0 - 4,1984,Bumiputera,1426.0,
Malaysia,Total Sex, 0 - 4,1984,Chinese,549.6,
Malaysia,Total Sex, 0 - 4,1984,Indians,170.1,
Malaysia,Total Sex, 0 - 4,1984,Others,57.3,
Malaysia,Total Sex, 0 - 4,1985,Total Ethnic Group,2279.1,
Malaysia,Total Sex, 0 - 4,1985,Bumiputera,1497.9,
Malaysia,Total Sex, 0 - 4,1985,Chinese,549.7,
Malaysia,Total Sex, 0 - 4,1985,Indians,170.1,
Malaysia,Total Sex, 0 - 4,1985,Others,61.5,
Malaysia,Total Sex, 0 - 4,1986,Total Ethnic Group,2351.7,
Malaysia,Total Sex, 0 - 4,1986,Bumiputera,1571.0,
Malaysia,Total Sex, 0 - 4,1986,Chinese,545.7,
Malaysia,Total Sex, 0 - 4,1986,Indians,170.4,
Malaysia,Total Sex, 0 - 4,1986,Others,64.6,
Malaysia,Total Sex, 0 - 4,1987,Total Ethnic Group,2403.4,
Malaysia,Total Sex, 0 - 4,1987,Bumiputera,1633.5,
Malaysia,Total Sex, 0 - 4,1987,Chinese,531.9,
Malaysia,Total Sex, 0 - 4,1987,Indians,171.4,
Malaysia,Total Sex, 0 - 4,1987,Others,66.6,
Malaysia,Total Sex, 0 - 4,1988,Total Ethnic Group,2451.5,
Malaysia,Total Sex, 0 - 4,1988,Bumiputera,1686.4,
Malaysia,Total Sex, 0 - 4,1988,Chinese,524.7,
Malaysia,Total Sex, 0 - 4,1988,Indians,171.1,
Malaysia,Total Sex, 0 - 4,1988,Others,69.3,
Malaysia,Total Sex, 0 - 4,1989,Total Ethnic Group,2493.2,
Malaysia,Total Sex, 0 - 4,1989,Bumiputera,1721.8,
Malaysia,Total Sex, 0 - 4,1989,Chinese,528.7,
Malaysia,Total Sex, 0 - 4,1989,Indians,170.6,
Malaysia,Total Sex, 0 - 4,1989,Others,72.1,
Malaysia,Total Sex, 0 - 4,1990,Total Ethnic Group,2499.7,
Malaysia,Total Sex, 0 - 4,1990,Bumiputera,1739.8,
Malaysia,Total Sex, 0 - 4,1990,Chinese,514.8,
Malaysia,Total Sex, 0 - 4,1990,Indians,170.8,
Malaysia,Total Sex, 0 - 4,1990,Others,74.4,
Malaysia,Total Sex, 5 - 9,1980,Total Ethnic Group,1844.2,
Malaysia,Total Sex, 5 - 9,1980,Bumiputera,1101.3,
Malaysia,Total Sex, 5 - 9,1980,Chinese,560.5,
Malaysia,Total Sex, 5 - 9,1980,Indians,142.5,
Malaysia,Total Sex, 5 - 9,1980,Others,39.9,
Malaysia,Total Sex, 5 - 9,1981,Total Ethnic Group,1854.3,
Malaysia,Total Sex, 5 - 9,1981,Bumiputera,1116.2,
Malaysia,Total Sex, 5 - 9,1981,Chinese,553.6,
Malaysia,Total Sex, 5 - 9,1981,Indians,144.2,
Malaysia,Total Sex, 5 - 9,1981,Others,40.4,
Malaysia,Total Sex, 5 - 9,1982,Total Ethnic Group,1887.6,
Malaysia,Total Sex, 5 - 9,1982,Bumiputera,1145.3,
Malaysia,Total Sex, 5 - 9,1982,Chinese,554.9,
Malaysia,Total Sex, 5 - 9,1982,Indians,147.6,
Malaysia,Total Sex, 5 - 9,1982,Others,39.8,
Malaysia,Total Sex, 5 - 9,1983,Total Ethnic Group,1907.8,
Malaysia,Total Sex, 5 - 9,1983,Bumiputera,1166.1,
Malaysia,Total Sex, 5 - 9,1983,Chinese,552.0,
Malaysia,Total Sex, 5 - 9,1983,Indians,150.7,
Malaysia,Total Sex, 5 - 9,1983,Others,38.9,
Malaysia,Total Sex, 5 - 9,1984,Total Ethnic Group,1942.2,
Malaysia,Total Sex, 5 - 9,1984,Bumiputera,1194.9,
Malaysia,Total Sex, 5 - 9,1984,Chinese,553.7,
Malaysia,Total Sex, 5 - 9,1984,Indians,154.1,
Malaysia,Total Sex, 5 - 9,1984,Others,39.6,
Malaysia,Total Sex, 5 - 9,1985,Total Ethnic Group,1975.6,
Malaysia,Total Sex, 5 - 9,1985,Bumiputera,1223.5,
Malaysia,Total Sex, 5 - 9,1985,Chinese,554.0,
Malaysia,Total Sex, 5 - 9,1985,Indians,157.0,
Malaysia,Total Sex, 5 - 9,1985,Others,41.2,
Malaysia,Total Sex, 5 - 9,1986,Total Ethnic Group,2027.6,
Malaysia,Total Sex, 5 - 9,1986,Bumiputera,1273.3,
Malaysia,Total Sex, 5 - 9,1986,Chinese,550.3,
Malaysia,Total Sex, 5 - 9,1986,Indians,160.3,
Malaysia,Total Sex, 5 - 9,1986,Others,43.7,
Malaysia,Total Sex, 5 - 9,1987,Total Ethnic Group,2083.5,
Malaysia,Total Sex, 5 - 9,1987,Bumiputera,1325.0,
Malaysia,Total Sex, 5 - 9,1987,Chinese,547.7,
Malaysia,Total Sex, 5 - 9,1987,Indians,163.4,
Malaysia,Total Sex, 5 - 9,1987,Others,47.5,
Malaysia,Total Sex, 5 - 9,1988,Total Ethnic Group,2154.1,
Malaysia,Total Sex, 5 - 9,1988,Bumiputera,1388.0,
Malaysia,Total Sex, 5 - 9,1988,Chinese,548.7,
Malaysia,Total Sex, 5 - 9,1988,Indians,165.9,
Malaysia,Total Sex, 5 - 9,1988,Others,51.4,
Malaysia,Total Sex, 5 - 9,1989,Total Ethnic Group,2212.1,
Malaysia,Total Sex, 5 - 9,1989,Bumiputera,1447.0,
Malaysia,Total Sex, 5 - 9,1989,Chinese,543.5,
Malaysia,Total Sex, 5 - 9,1989,Indians,166.2,
Malaysia,Total Sex, 5 - 9,1989,Others,55.4,
Malaysia,Total Sex, 5 - 9,1990,Total Ethnic Group,2292.9,
Malaysia,Total Sex, 5 - 9,1990,Bumiputera,1522.7,
Malaysia,Total Sex, 5 - 9,1990,Chinese,545.4,
Malaysia,Total Sex, 5 - 9,1990,Indians,165.8,
Malaysia,Total Sex, 5 - 9,1990,Others,59.0,
Malaysia,Total Sex, 10 - 14,1980,Total Ethnic Group,1719.1,
Malaysia,Total Sex, 10 - 14,1980,Bumiputera,983.4,
Malaysia,Total Sex, 10 - 14,1980,Chinese,544.7,
Malaysia,Total Sex, 10 - 14,1980,Indians,146.1,
Malaysia,Total Sex, 10 - 14,1980,Others,44.9,
Malaysia,Total Sex, 10 - 14,1981,Total Ethnic Group,1735.2,
Malaysia,Total Sex, 10 - 14,1981,Bumiputera,1007.1,
Malaysia,Total Sex, 10 - 14,1981,Chinese,537.1,
Malaysia,Total Sex, 10 - 14,1981,Indians,142.5,
Malaysia,Total Sex, 10 - 14,1981,Others,48.5,
Malaysia,Total Sex, 10 - 14,1982,Total Ethnic Group,1756.9,
Malaysia,Total Sex, 10 - 14,1982,Bumiputera,1037.0,
Malaysia,Total Sex, 10 - 14,1982,Chinese,530.1,
Malaysia,Total Sex, 10 - 14,1982,Indians,140.0,
Malaysia,Total Sex, 10 - 14,1982,Others,49.9,
Malaysia,Total Sex, 10 - 14,1983,Total Ethnic Group,1763.3,
Malaysia,Total Sex, 10 - 14,1983,Bumiputera,1053.6,
Malaysia,Total Sex, 10 - 14,1983,Chinese,522.0,
Malaysia,Total Sex, 10 - 14,1983,Indians,137.5,
Malaysia,Total Sex, 10 - 14,1983,Others,50.2,
Malaysia,Total Sex, 10 - 14,1984,Total Ethnic Group,1788.7,
Malaysia,Total Sex, 10 - 14,1984,Bumiputera,1080.3,
Malaysia,Total Sex, 10 - 14,1984,Chinese,520.6,
Malaysia,Total Sex, 10 - 14,1984,Indians,138.2,
Malaysia,Total Sex, 10 - 14,1984,Others,49.6,
Malaysia,Total Sex, 10 - 14,1985,Total Ethnic Group,1826.5,
Malaysia,Total Sex, 10 - 14,1985,Bumiputera,1117.5,
Malaysia,Total Sex, 10 - 14,1985,Chinese,521.0,
Malaysia,Total Sex, 10 - 14,1985,Indians,140.8,
Malaysia,Total Sex, 10 - 14,1985,Others,47.2,
Malaysia,Total Sex, 10 - 14,1986,Total Ethnic Group,1844.2,
Malaysia,Total Sex, 10 - 14,1986,Bumiputera,1132.4,
Malaysia,Total Sex, 10 - 14,1986,Chinese,523.2,
Malaysia,Total Sex, 10 - 14,1986,Indians,142.8,
Malaysia,Total Sex, 10 - 14,1986,Others,45.8,
Malaysia,Total Sex, 10 - 14,1987,Total Ethnic Group,1883.0,
Malaysia,Total Sex, 10 - 14,1987,Bumiputera,1161.8,
Malaysia,Total Sex, 10 - 14,1987,Chinese,532.0,
Malaysia,Total Sex, 10 - 14,1987,Indians,146.0,
Malaysia,Total Sex, 10 - 14,1987,Others,43.3,
Malaysia,Total Sex, 10 - 14,1988,Total Ethnic Group,1906.4,
Malaysia,Total Sex, 10 - 14,1988,Bumiputera,1183.0,
Malaysia,Total Sex, 10 - 14,1988,Chinese,534.1,
Malaysia,Total Sex, 10 - 14,1988,Indians,148.8,
Malaysia,Total Sex, 10 - 14,1988,Others,40.6,
Malaysia,Total Sex, 10 - 14,1989,Total Ethnic Group,1944.8,
Malaysia,Total Sex, 10 - 14,1989,Bumiputera,1212.8,
Malaysia,Total Sex, 10 - 14,1989,Chinese,539.9,
Malaysia,Total Sex, 10 - 14,1989,Indians,151.8,
Malaysia,Total Sex, 10 - 14,1989,Others,40.2,
Malaysia,Total Sex, 10 - 14,1990,Total Ethnic Group,1982.3,
Malaysia,Total Sex, 10 - 14,1990,Bumiputera,1244.4,
Malaysia,Total Sex, 10 - 14,1990,Chinese,542.0,
Malaysia,Total Sex, 10 - 14,1990,Indians,154.5,
Malaysia,Total Sex, 10 - 14,1990,Others,41.4,
Malaysia,Total Sex, 15 - 19,1980,Total Ethnic Group,1576.5,
Malaysia,Total Sex, 15 - 19,1980,Bumiputera,903.7,
Malaysia,Total Sex, 15 - 19,1980,Chinese,491.3,
Malaysia,Total Sex, 15 - 19,1980,Indians,144.1,
Malaysia,Total Sex, 15 - 19,1980,Others,37.4,
Malaysia,Total Sex, 15 - 19,1981,Total Ethnic Group,1619.8,
Malaysia,Total Sex, 15 - 19,1981,Bumiputera,930.6,
Malaysia,Total Sex, 15 - 19,1981,Chinese,502.7,
Malaysia,Total Sex, 15 - 19,1981,Indians,145.1,
Malaysia,Total Sex, 15 - 19,1981,Others,41.4,
Malaysia,Total Sex, 15 - 19,1982,Total Ethnic Group,1647.5,
Malaysia,Total Sex, 15 - 19,1982,Bumiputera,950.5,
Malaysia,Total Sex, 15 - 19,1982,Chinese,506.1,
Malaysia,Total Sex, 15 - 19,1982,Indians,145.3,
Malaysia,Total Sex, 15 - 19,1982,Others,45.8,
Malaysia,Total Sex, 15 - 19,1983,Total Ethnic Group,1678.3,
Malaysia,Total Sex, 15 - 19,1983,Bumiputera,977.5,
Malaysia,Total Sex, 15 - 19,1983,Chinese,504.3,
Malaysia,Total Sex, 15 - 19,1983,Indians,144.8,
Malaysia,Total Sex, 15 - 19,1983,Others,51.7,
Malaysia,Total Sex, 15 - 19,1984,Total Ethnic Group,1687.0,
Malaysia,Total Sex, 15 - 19,1984,Bumiputera,995.6,
Malaysia,Total Sex, 15 - 19,1984,Chinese,494.2,
Malaysia,Total Sex, 15 - 19,1984,Indians,141.6,
Malaysia,Total Sex, 15 - 19,1984,Others,55.6,
Malaysia,Total Sex, 15 - 19,1985,Total Ethnic Group,1696.1,
Malaysia,Total Sex, 15 - 19,1985,Bumiputera,1014.3,
Malaysia,Total Sex, 15 - 19,1985,Chinese,483.4,
Malaysia,Total Sex, 15 - 19,1985,Indians,139.0,
Malaysia,Total Sex, 15 - 19,1985,Others,59.4,
Malaysia,Total Sex, 15 - 19,1986,Total Ethnic Group,1710.3,
Malaysia,Total Sex, 15 - 19,1986,Bumiputera,1034.4,
Malaysia,Total Sex, 15 - 19,1986,Chinese,476.9,
Malaysia,Total Sex, 15 - 19,1986,Indians,136.3,
Malaysia,Total Sex, 15 - 19,1986,Others,62.6,
Malaysia,Total Sex, 15 - 19,1987,Total Ethnic Group,1727.0,
Malaysia,Total Sex, 15 - 19,1987,Bumiputera,1059.7,
Malaysia,Total Sex, 15 - 19,1987,Chinese,470.1,
Malaysia,Total Sex, 15 - 19,1987,Indians,134.9,
Malaysia,Total Sex, 15 - 19,1987,Others,62.3,
Malaysia,Total Sex, 15 - 19,1988,Total Ethnic Group,1738.3,
Malaysia,Total Sex, 15 - 19,1988,Bumiputera,1075.2,
Malaysia,Total Sex, 15 - 19,1988,Chinese,468.1,
Malaysia,Total Sex, 15 - 19,1988,Indians,134.0,
Malaysia,Total Sex, 15 - 19,1988,Others,61.0,
Malaysia,Total Sex, 15 - 19,1989,Total Ethnic Group,1770.4,
Malaysia,Total Sex, 15 - 19,1989,Bumiputera,1101.6,
Malaysia,Total Sex, 15 - 19,1989,Chinese,474.1,
Malaysia,Total Sex, 15 - 19,1989,Indians,135.8,
Malaysia,Total Sex, 15 - 19,1989,Others,58.8,
Malaysia,Total Sex, 15 - 19,1990,Total Ethnic Group,1808.4,
Malaysia,Total Sex, 15 - 19,1990,Bumiputera,1133.8,
Malaysia,Total Sex, 15 - 19,1990,Chinese,481.2,
Malaysia,Total Sex, 15 - 19,1990,Indians,138.9,
Malaysia,Total Sex, 15 - 19,1990,Others,54.5,
Malaysia,Total Sex, 20 - 24,1980,Total Ethnic Group,1355.2,
Malaysia,Total Sex, 20 - 24,1980,Bumiputera,768.2,
Malaysia,Total Sex, 20 - 24,1980,Chinese,417.0,
Malaysia,Total Sex, 20 - 24,1980,Indians,131.8,
Malaysia,Total Sex, 20 - 24,1980,Others,38.2,
Malaysia,Total Sex, 20 - 24,1981,Total Ethnic Group,1403.3,
Malaysia,Total Sex, 20 - 24,1981,Bumiputera,802.4,
Malaysia,Total Sex, 20 - 24,1981,Chinese,425.2,
Malaysia,Total Sex, 20 - 24,1981,Indians,134.8,
Malaysia,Total Sex, 20 - 24,1981,Others,40.9,
Malaysia,Total Sex, 20 - 24,1982,Total Ethnic Group,1456.0,
Malaysia,Total Sex, 20 - 24,1982,Bumiputera,840.8,
Malaysia,Total Sex, 20 - 24,1982,Chinese,435.0,
Malaysia,Total Sex, 20 - 24,1982,Indians,136.6,
Malaysia,Total Sex, 20 - 24,1982,Others,43.5,
Malaysia,Total Sex, 20 - 24,1983,Total Ethnic Group,1507.6,
Malaysia,Total Sex, 20 - 24,1983,Bumiputera,877.7,
Malaysia,Total Sex, 20 - 24,1983,Chinese,446.2,
Malaysia,Total Sex, 20 - 24,1983,Indians,138.6,
Malaysia,Total Sex, 20 - 24,1983,Others,45.1,
Malaysia,Total Sex, 20 - 24,1984,Total Ethnic Group,1558.5,
Malaysia,Total Sex, 20 - 24,1984,Bumiputera,914.6,
Malaysia,Total Sex, 20 - 24,1984,Chinese,455.7,
Malaysia,Total Sex, 20 - 24,1984,Indians,140.3,
Malaysia,Total Sex, 20 - 24,1984,Others,48.0,
Malaysia,Total Sex, 20 - 24,1985,Total Ethnic Group,1590.4,
Malaysia,Total Sex, 20 - 24,1985,Bumiputera,938.9,
Malaysia,Total Sex, 20 - 24,1985,Chinese,460.6,
Malaysia,Total Sex, 20 - 24,1985,Indians,139.9,
Malaysia,Total Sex, 20 - 24,1985,Others,51.0,
Malaysia,Total Sex, 20 - 24,1986,Total Ethnic Group,1621.4,
Malaysia,Total Sex, 20 - 24,1986,Bumiputera,965.2,
Malaysia,Total Sex, 20 - 24,1986,Chinese,460.9,
Malaysia,Total Sex, 20 - 24,1986,Indians,139.7,
Malaysia,Total Sex, 20 - 24,1986,Others,55.7,
Malaysia,Total Sex, 20 - 24,1987,Total Ethnic Group,1642.8,
Malaysia,Total Sex, 20 - 24,1987,Bumiputera,985.9,
Malaysia,Total Sex, 20 - 24,1987,Chinese,457.1,
Malaysia,Total Sex, 20 - 24,1987,Indians,138.8,
Malaysia,Total Sex, 20 - 24,1987,Others,61.1,
Malaysia,Total Sex, 20 - 24,1988,Total Ethnic Group,1663.5,
Malaysia,Total Sex, 20 - 24,1988,Bumiputera,1010.9,
Malaysia,Total Sex, 20 - 24,1988,Chinese,447.5,
Malaysia,Total Sex, 20 - 24,1988,Indians,137.2,
Malaysia,Total Sex, 20 - 24,1988,Others,67.8,
Malaysia,Total Sex, 20 - 24,1989,Total Ethnic Group,1664.8,
Malaysia,Total Sex, 20 - 24,1989,Bumiputera,1026.7,
Malaysia,Total Sex, 20 - 24,1989,Chinese,433.2,
Malaysia,Total Sex, 20 - 24,1989,Indians,134.0,
Malaysia,Total Sex, 20 - 24,1989,Others,70.9,
Malaysia,Total Sex, 20 - 24,1990,Total Ethnic Group,1671.3,
Malaysia,Total Sex, 20 - 24,1990,Bumiputera,1044.4,
Malaysia,Total Sex, 20 - 24,1990,Chinese,421.6,
Malaysia,Total Sex, 20 - 24,1990,Indians,131.6,
Malaysia,Total Sex, 20 - 24,1990,Others,73.7,
Malaysia,Total Sex, 25 - 29,1980,Total Ethnic Group,1118.2,
Malaysia,Total Sex, 25 - 29,1980,Bumiputera,616.5,
Malaysia,Total Sex, 25 - 29,1980,Chinese,368.9,
Malaysia,Total Sex, 25 - 29,1980,Indians,105.0,
Malaysia,Total Sex, 25 - 29,1980,Others,27.7,
Malaysia,Total Sex, 25 - 29,1981,Total Ethnic Group,1176.9,
Malaysia,Total Sex, 25 - 29,1981,Bumiputera,655.0,
Malaysia,Total Sex, 25 - 29,1981,Chinese,380.8,
Malaysia,Total Sex, 25 - 29,1981,Indians,110.9,
Malaysia,Total Sex, 25 - 29,1981,Others,30.3,
Malaysia,Total Sex, 25 - 29,1982,Total Ethnic Group,1225.6,
Malaysia,Total Sex, 25 - 29,1982,Bumiputera,685.3,
Malaysia,Total Sex, 25 - 29,1982,Chinese,390.6,
Malaysia,Total Sex, 25 - 29,1982,Indians,116.1,
Malaysia,Total Sex, 25 - 29,1982,Others,33.6,
Malaysia,Total Sex, 25 - 29,1983,Total Ethnic Group,1274.4,
Malaysia,Total Sex, 25 - 29,1983,Bumiputera,718.3,
Malaysia,Total Sex, 25 - 29,1983,Chinese,398.5,
Malaysia,Total Sex, 25 - 29,1983,Indians,120.1,
Malaysia,Total Sex, 25 - 29,1983,Others,37.5,
Malaysia,Total Sex, 25 - 29,1984,Total Ethnic Group,1322.3,
Malaysia,Total Sex, 25 - 29,1984,Bumiputera,751.5,
Malaysia,Total Sex, 25 - 29,1984,Chinese,406.1,
Malaysia,Total Sex, 25 - 29,1984,Indians,123.8,
Malaysia,Total Sex, 25 - 29,1984,Others,40.9,
Malaysia,Total Sex, 25 - 29,1985,Total Ethnic Group,1378.1,
Malaysia,Total Sex, 25 - 29,1985,Bumiputera,791.8,
Malaysia,Total Sex, 25 - 29,1985,Chinese,413.7,
Malaysia,Total Sex, 25 - 29,1985,Indians,128.0,
Malaysia,Total Sex, 25 - 29,1985,Others,44.7,
Malaysia,Total Sex, 25 - 29,1986,Total Ethnic Group,1430.0,
Malaysia,Total Sex, 25 - 29,1986,Bumiputera,829.9,
Malaysia,Total Sex, 25 - 29,1986,Chinese,421.0,
Malaysia,Total Sex, 25 - 29,1986,Indians,131.0,
Malaysia,Total Sex, 25 - 29,1986,Others,48.2,
Malaysia,Total Sex, 25 - 29,1987,Total Ethnic Group,1479.3,
Malaysia,Total Sex, 25 - 29,1987,Bumiputera,868.8,
Malaysia,Total Sex, 25 - 29,1987,Chinese,425.7,
Malaysia,Total Sex, 25 - 29,1987,Indians,132.6,
Malaysia,Total Sex, 25 - 29,1987,Others,52.1,
Malaysia,Total Sex, 25 - 29,1988,Total Ethnic Group,1530.9,
Malaysia,Total Sex, 25 - 29,1988,Bumiputera,909.4,
Malaysia,Total Sex, 25 - 29,1988,Chinese,431.7,
Malaysia,Total Sex, 25 - 29,1988,Indians,134.7,
Malaysia,Total Sex, 25 - 29,1988,Others,55.1,
Malaysia,Total Sex, 25 - 29,1989,Total Ethnic Group,1573.5,
Malaysia,Total Sex, 25 - 29,1989,Bumiputera,945.8,
Malaysia,Total Sex, 25 - 29,1989,Chinese,432.5,
Malaysia,Total Sex, 25 - 29,1989,Indians,135.6,
Malaysia,Total Sex, 25 - 29,1989,Others,59.6,
Malaysia,Total Sex, 25 - 29,1990,Total Ethnic Group,1603.8,
Malaysia,Total Sex, 25 - 29,1990,Bumiputera,973.7,
Malaysia,Total Sex, 25 - 29,1990,Chinese,430.0,
Malaysia,Total Sex, 25 - 29,1990,Indians,135.6,
Malaysia,Total Sex, 25 - 29,1990,Others,64.5,
Malaysia,Total Sex, 30 - 34,1980,Total Ethnic Group,901.2,
Malaysia,Total Sex, 30 - 34,1980,Bumiputera,486.9,
Malaysia,Total Sex, 30 - 34,1980,Chinese,315.6,
Malaysia,Total Sex, 30 - 34,1980,Indians,78.0,
Malaysia,Total Sex, 30 - 34,1980,Others,20.6,
Malaysia,Total Sex, 30 - 34,1981,Total Ethnic Group,940.6,
Malaysia,Total Sex, 30 - 34,1981,Bumiputera,510.5,
Malaysia,Total Sex, 30 - 34,1981,Chinese,326.0,
Malaysia,Total Sex, 30 - 34,1981,Indians,82.8,
Malaysia,Total Sex, 30 - 34,1981,Others,21.4,
Malaysia,Total Sex, 30 - 34,1982,Total Ethnic Group,988.4,
Malaysia,Total Sex, 30 - 34,1982,Bumiputera,539.6,
Malaysia,Total Sex, 30 - 34,1982,Chinese,337.9,
Malaysia,Total Sex, 30 - 34,1982,Indians,88.0,
Malaysia,Total Sex, 30 - 34,1982,Others,23.0,
Malaysia,Total Sex, 30 - 34,1983,Total Ethnic Group,1038.1,
Malaysia,Total Sex, 30 - 34,1983,Bumiputera,571.5,
Malaysia,Total Sex, 30 - 34,1983,Chinese,349.2,
Malaysia,Total Sex, 30 - 34,1983,Indians,93.0,
Malaysia,Total Sex, 30 - 34,1983,Others,24.4,
Malaysia,Total Sex, 30 - 34,1984,Total Ethnic Group,1086.7,
Malaysia,Total Sex, 30 - 34,1984,Bumiputera,602.8,
Malaysia,Total Sex, 30 - 34,1984,Chinese,358.9,
Malaysia,Total Sex, 30 - 34,1984,Indians,97.8,
Malaysia,Total Sex, 30 - 34,1984,Others,27.2,
Malaysia,Total Sex, 30 - 34,1985,Total Ethnic Group,1140.0,
Malaysia,Total Sex, 30 - 34,1985,Bumiputera,636.8,
Malaysia,Total Sex, 30 - 34,1985,Chinese,370.0,
Malaysia,Total Sex, 30 - 34,1985,Indians,102.9,
Malaysia,Total Sex, 30 - 34,1985,Others,30.3,
Malaysia,Total Sex, 30 - 34,1986,Total Ethnic Group,1196.6,
Malaysia,Total Sex, 30 - 34,1986,Bumiputera,674.1,
Malaysia,Total Sex, 30 - 34,1986,Chinese,380.5,
Malaysia,Total Sex, 30 - 34,1986,Indians,108.4,
Malaysia,Total Sex, 30 - 34,1986,Others,33.6,
